epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,350.193,0.40777,0.41694,0.00179,0.97431,0.8226,0.9675,0.88015,0.40904,0.34642,0.00185,0.000458,0.000458,0.000458
66,355.505,0.37765,0.39504,0.00176,0.91388,0.88167,0.9675,0.90299,0.38493,0.30113,0.00188,0.000445625,0.000445625,0.000445625
67,360.821,0.37405,0.39367,0.0018,0.96218,0.83809,0.9675,0.90268,0.33659,0.39993,0.00168,0.00043325,0.00043325,0.00043325
68,366.206,0.36522,0.38581,0.00166,0.9514,0.87249,0.9675,0.93031,0.30835,0.33792,0.00169,0.000420875,0.000420875,0.000420875
69,371.416,0.37537,0.42395,0.00176,0.95209,0.87553,0.9675,0.92776,0.3456,0.28741,0.00177,0.0004085,0.0004085,0.0004085
70,376.579,0.35924,0.38471,0.00168,0.9515,0.96451,0.995,0.96107,0.28591,0.25894,0.00158,0.000396125,0.000396125,0.000396125
71,382.195,0.35498,0.34934,0.00167,0.9228,1,0.995,0.95004,0.34128,0.23927,0.00169,0.00038375,0.00038375,0.00038375
72,387.576,0.38048,0.41075,0.0017,0.94665,0.87521,0.9675,0.92976,0.35401,0.26728,0.00171,0.000371375,0.000371375,0.000371375
73,392.904,0.37621,0.37958,0.0017,0.95691,0.87616,0.9675,0.92131,0.36301,0.27747,0.00176,0.000359,0.000359,0.000359
74,398.446,0.36804,0.37028,0.00157,0.95402,0.88077,0.9675,0.88195,0.40927,0.26693,0.00194,0.000346625,0.000346625,0.000346625
75,404.143,0.37098,0.37803,0.00155,0.95272,0.87874,0.9675,0.90026,0.35448,0.26992,0.00172,0.00033425,0.00033425,0.00033425
76,409.942,0.35493,0.34633,0.00146,0.96204,0.86523,0.9675,0.94015,0.31263,0.27381,0.00143,0.000321875,0.000321875,0.000321875
77,415.28,0.36202,0.34462,0.00139,0.95748,0.85243,0.9675,0.92566,0.30508,0.26008,0.00145,0.0003095,0.0003095,0.0003095
78,420.735,0.35427,0.35835,0.00167,0.85322,1,0.995,0.96357,0.30008,0.23064,0.0015,0.000297125,0.000297125,0.000297125
79,426.095,0.34979,0.32302,0.00164,0.87437,1,0.995,0.96183,0.2957,0.22152,0.00145,0.00028475,0.00028475,0.00028475
80,431.382,0.36088,0.33153,0.00159,0.89214,1,0.995,0.96333,0.27407,0.20717,0.00122,0.000272375,0.000272375,0.000272375
81,436.694,0.36204,0.35477,0.00169,0.89579,1,0.995,0.94903,0.30166,0.21851,0.00134,0.00026,0.00026,0.00026
